,,,,,,,,,,,,,,,,,,,,
over,3,6,10,18,30,40,50,65,80,100,120,140,160,180,200,225,250,280,315,355
inc.,6,10,18,30,40,50,65,80,100,120,140,160,180,200,225,250,280,315,355,400
a12,"-270
-390","-280
-430","-290
-470","-300
-510","-310
-560","-320
-570","-340
-640","-360
-660","-380
-730","-410
-760","-460
-860","-520
-920","-580
-980","-660
-1120","-740
-1200","-820
-1280","-920
-1440","-1050
-1570","-1200
-1770","-1350
-1920"
d6,"-30
-38","-40
-49","-50
-61","-65
-78","-80
-96","-80
-96","-100
-119","-100
-119","-120
-142","-120
-142","-145
-170","-145
-170","-145
-170","-170
-199","-170
-199","-170
-199","-190
-222","-190
-222","-210
-246","-210
-246"
e6,"-20
-28","-25
-34","-32
-43","-40
-53","-50
-66","-50
-66","-60
-79","-60
-79","-72
-94","-72
-94","-85
-110","-85
-110","-85
-110","-100
-129","-100
-129","-100
-129","-110
-142","-110
-142","-125
-161","-125
-161"
e13,"-20
-200","-25
-245","-32
-302","-40
-370","-50
-440","-50
-440","-60
-520","-60
-520","-72
-612","-72
-612","-85
-715","-85
-715","-85
-715","-100
-820","-100
-820","-100
-820","-110
-920","-110
-920","-125
-1015","-125
-1015"
f5,"-10
-15","-13
-19","-16
-24","-20
-29","-25
-36","-25
-36","-30
-43","-30
-43","-36
-51","-36
-51","-43
-61","-43
-61","-43
-61","-50
-70","-50
-70","-50
-70","-56
-79","-56
-79","-62
-87","-62
-87"
f6,"-10
-18","-13
-22","-16
-27","-20
-33","-25
-41","-25
-41","-30
-49","-30
-49","-36
-58","-36
-58","-43
-48","-43
-48","-43
-48","-50
-79","-50
-79","-50
-79","-56
-88","-56
-88","-62
-98","-62
-98"
f7,"-10
-22","-13
-28","-16
-34","-20
-41","-25
-50","-25
-50","-30
-60","-30
-60","-36
-71","-36
-71","-43
-83","-43
-83","-43
-83","-50
-96","-50
-96","-50
-96","-56
-108","-56
-108","-62
-119","-62
-119"
g5,"-4
-9","-5
-11","-6
-14","-7
-16","-9
-20","-9
-20","-10
-23","-10
-23","-12
-27","-12
-27","-14
-32","-14
-32","-14
-32","-15
-35","-15
-35","-15
-35","-17
-40","-17
-40","-18
-43","-18
-43"
g6,"-4
-12","-5
-14","-6
-17","-7
-20","-9
-25","-9
-25","-10
-29","-10
-29","-12
-34","-12
-34","-14
-39","-14
-39","-14
-39","-15
-44","-15
-44","-15
-44","-17
-49","-17
-49","-18
-54","-18
-54"
g7,"-4
-16","-5
-20","-6
-24","-7
-28","-9
-34","-9
-34","-10
-40","-10
-40","-12
-47","-12
-47","-14
-54","-14
-54","-14
-54","-15
-61","-15
-61","-15
-61","-17
-69","-17
-69","-18
-75","-18
-75"
h4,"-0
-4","-0
-4","-0
-5","-0
-6","-0
-7","-0
-7","-0
-8","-0
-8","-0
-10","-0
-10","-0
-12","-0
-12","-0
-12","-0
-14","-0
-14","-0
-14","-0
-16","-0
-16","-0
-18","-0
-18"
h5,"-0
-5","-0
-6","-0
-8","-0
-9","-0
-11","-0
-11","-0
-13","-0
-13","-0
-15","-0
-15","-0
-18","-0
-18","-0
-18","-0
-20","-0
-20","-0
-20","-0
-23","-0
-23","-0
-25","-0
-25"
h6,"-0
-8","-0
-9","-0
-11","-0
-13","-0
-16","-0
-16","-0
-19","-0
-19","-0
-22","-0
-22","-0
-25","-0
-25","-0
-25","-0
-29","-0
-29","-0
-29","-0
-32","-0
-32","-0
-36","-0
-36"
